timestamp,$63250 or above,$63500 or above,$63750 or above,$64000 or above,$64250 or above,$64500 or above,$64750 or above,$65000 or above,$65250 or above,$65500 or above,$65750 or above,$66000 or above,$66250 or above,$66500 or above,$66750 or above,$67000 or above,$67250 or above,$67500 or above,$67750 or above,$68000 or above,$68250 or above,$68500 or above,$68750 or above,$69000 or above,$69250 or above,$69500 or above,$69750 or above,$70000 or above,$70250 or above,$70500 or above,$70750 or above,$71000 or above,$71250 or above,$71500 or above,$71750 or above,$72000 or above,$72250 or above,$72500 or above,$72750 or above,$73000 or above,$73250 or above,$73500 or above,$73750 or above,$74000 or above,$74250 or above,$74500 or above,$74750 or above,$75000 or above,$75250 or above,$75500 or above,$75750 or above,$76000 or above,$76250 or above,$76500 or above,$76750 or above,$77000 or above,$77250 or above,$77500 or above,$77750 or above,$78000 or above,$78250 or above,$78500 or above,$78750 or above,$79000 or above,$79250 or above,$79500 or above,$79750 or above,$80000 or above,$80250 or above,$80500 or above,$80750 or above,$81000 or above,$81250 or above,$81500 or above,$81750 or above
2026-03-06T15:01:00Z,,,,,,,,,,,,,,,,86.00,97.00,96.00,89.23,79.90,69.62,51.41,24.63,17.64,8.54,,1.00,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:02:00Z,,,,,,,,,,,,,,,,86.00,97.00,89.00,82.05,72.11,61.74,44.82,34.99,21.88,11.43,7.05,4.44,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:03:00Z,,,,,,,,,,,,,,,,95.00,94.23,91.33,82.41,75.55,63.52,50.18,34.68,20.86,14.59,9.04,4.44,2.13,,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:04:00Z,,,,,,,,,,,,,,,,98.00,94.23,92.42,86.05,79.42,66.68,53.28,38.33,25.42,17.56,10.23,4.44,3.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:05:00Z,99.00,,,,,,,,,,,,,,,97.00,96.74,94.00,87.00,79.69,66.72,53.21,37.22,25.38,15.52,8.76,4.78,2.10,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:06:00Z,99.00,,,,,,,,,,,,,,,99.00,96.95,94.00,89.69,81.71,69.29,55.32,39.70,24.93,13.99,8.06,5.00,3.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:07:00Z,99.00,,,,,,,,,,,,,,,99.00,96.29,95.00,90.90,84.81,71.49,58.81,39.16,24.94,14.44,8.81,4.93,3.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:08:00Z,99.00,,,,,,,,,,,,,,,99.00,96.00,94.75,90.28,81.51,65.31,50.37,34.44,20.33,13.26,6.94,3.00,3.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:09:00Z,99.00,,,,,,,,,,,,,,,99.00,98.00,95.00,88.54,76.97,63.99,47.59,31.24,18.65,10.01,5.07,3.00,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:10:00Z,99.00,,,,,,,,,,,,,,99.00,97.90,98.00,93.00,85.41,78.09,58.52,46.19,25.32,16.50,10.01,4.82,3.00,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:11:00Z,99.00,,,,,,,,,,,,,,99.00,98.38,95.09,92.09,87.88,75.00,61.61,41.23,28.78,15.48,7.43,5.00,1.94,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:12:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,95.09,93.00,87.67,77.53,56.75,43.99,27.88,15.11,8.87,5.00,3.00,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:13:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,98.34,94.00,91.98,83.69,63.95,53.23,35.96,19.67,10.45,6.39,3.29,2.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:14:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,98.34,96.00,92.05,83.09,68.42,52.18,34.51,19.86,11.24,5.00,3.29,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:15:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,98.34,97.00,93.00,87.00,71.97,55.22,36.75,21.93,11.48,7.00,3.29,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:16:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,97.00,94.21,88.31,73.28,57.55,39.62,23.60,13.16,6.95,4.00,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:17:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,97.00,94.21,88.00,73.46,56.16,36.81,20.45,11.52,7.00,4.00,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:18:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,97.00,95.35,92.30,77.92,67.08,44.39,23.01,13.24,7.33,4.00,2.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:19:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,97.00,96.00,93.00,82.47,67.32,48.41,29.41,17.03,8.00,4.00,2.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:20:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,97.00,96.00,93.57,84.09,69.47,49.57,29.92,16.14,8.00,3.00,2.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:21:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,97.00,97.00,92.99,84.04,69.23,49.71,28.21,15.99,8.00,3.00,2.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:22:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,97.00,98.00,95.37,85.94,75.10,52.84,34.64,16.20,7.81,4.00,2.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:23:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,97.00,95.01,87.55,77.08,57.31,36.08,18.70,9.00,4.00,2.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:24:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,98.00,96.89,89.22,82.47,63.13,42.51,23.08,11.62,4.00,1.99,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:25:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,97.00,97.84,91.60,83.18,65.81,45.94,25.49,12.94,4.08,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:26:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,97.00,96.00,92.60,81.80,64.75,41.06,23.02,8.73,4.54,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:27:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,97.00,96.00,92.43,82.66,62.93,40.03,20.88,9.89,4.54,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:28:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,98.56,96.00,92.05,81.35,60.33,37.00,18.30,7.88,3.60,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:29:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,98.56,96.00,93.67,81.39,61.32,35.20,17.65,7.14,3.00,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:30:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.02,92.00,78.73,56.81,30.78,14.66,7.00,4.00,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:31:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,97.05,95.95,85.00,66.98,46.86,22.21,10.87,3.83,1.54,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:32:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,97.03,88.08,74.18,50.36,21.85,9.87,3.66,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:33:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,97.05,88.60,73.37,47.87,25.46,10.23,3.97,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:34:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,94.00,85.82,64.17,37.06,15.82,8.35,3.46,2.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:35:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,94.02,84.12,59.68,31.47,13.25,5.00,2.20,1.00,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:36:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,94.13,86.46,60.70,33.17,13.24,6.00,1.00,1.64,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:37:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,96.00,89.54,70.80,44.25,19.00,5.50,2.30,1.64,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:38:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,96.98,89.73,73.27,43.65,19.63,8.59,2.00,1.64,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:39:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,98.75,97.00,92.90,81.43,54.64,24.44,10.61,2.02,1.64,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:40:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,98.75,97.00,91.95,74.90,42.13,16.21,6.72,2.17,1.64,1.00,1.00,1.53,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:41:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,97.93,89.75,66.36,36.93,13.99,5.67,2.17,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:42:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,96.94,88.84,66.88,30.80,9.67,4.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:43:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,97.00,86.80,60.13,25.66,8.14,3.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:44:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,96.22,80.31,48.60,19.83,6.82,1.36,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:45:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,98.79,94.19,75.47,48.76,17.28,5.73,1.36,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:46:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,98.79,94.57,78.30,38.81,12.46,4.35,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:47:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,98.79,92.96,72.95,31.82,8.39,2.57,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:48:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,94.74,72.14,33.46,8.67,1.59,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:49:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,95.84,72.15,30.54,7.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:50:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,92.04,68.59,24.01,5.55,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:51:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,98.00,88.38,51.03,15.73,2.07,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:52:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,94.95,70.24,30.83,5.75,1.87,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:53:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,95.65,71.66,24.89,4.58,1.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:54:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,95.31,69.57,19.89,3.88,1.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:55:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,98.18,83.83,26.11,2.82,1.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:56:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,93.26,42.56,4.38,1.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:57:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,98.45,70.10,7.40,1.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:58:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,99.00,81.46,3.76,1.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T15:59:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,99.00,59.32,1.00,1.00,1.00,1.00,1.00,1.64,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06T16:00:00Z,99.00,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,99.00,99.00,96.70,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
