timestamp,$58500 or above,$58750 or above,$59000 or above,$59250 or above,$59500 or above,$59750 or above,$60000 or above,$60250 or above,$60500 or above,$60750 or above,$61000 or above,$61250 or above,$61500 or above,$61750 or above,$62000 or above,$62250 or above,$62500 or above,$62750 or above,$63000 or above,$63250 or above,$63500 or above,$63750 or above,$64000 or above,$64250 or above,$64500 or above,$64750 or above,$65000 or above,$65250 or above,$65500 or above,$65750 or above,$66000 or above,$66250 or above,$66500 or above,$66750 or above,$67000 or above,$67250 or above,$67500 or above,$67750 or above,$68000 or above,$68250 or above,$68500 or above,$68750 or above,$69000 or above,$69250 or above,$69500 or above,$69750 or above,$70000 or above,$70250 or above,$70500 or above,$70750 or above,$71000 or above,$71250 or above,$71500 or above,$71750 or above,$72000 or above,$72250 or above,$72500 or above,$72750 or above,$73000 or above,$73250 or above,$73500 or above,$73750 or above,$74000 or above,$74250 or above,$74500 or above,$74750 or above,$75000 or above,$75250 or above,$75500 or above,$75750 or above,$76000 or above,$76250 or above,$76500 or above,$76750 or above,$77000 or above
2026-03-10T22:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.19,61.48,29.92,13.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.23,95.87,84.72,65.87,32.15,12.97,4.90,2.60,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:03:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.23,95.00,85.84,62.38,31.67,11.86,4.98,2.60,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,94.34,83.31,55.44,26.14,10.12,4.00,1.80,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:05:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,94.17,84.06,60.67,27.24,10.41,4.00,1.37,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:06:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.91,89.61,71.94,41.94,20.09,10.63,3.98,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:07:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.50,95.20,86.48,66.01,38.74,18.25,9.38,3.00,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:08:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.36,96.00,86.48,68.78,42.06,18.91,7.49,3.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:09:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,96.00,88.40,68.12,42.05,18.07,6.88,2.64,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10T22:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,95.00,88.07,68.21,41.73,17.69,5.99,3.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
