timestamp,$62500 or above,$62750 or above,$63000 or above,$63250 or above,$63500 or above,$63750 or above,$64000 or above,$64250 or above,$64500 or above,$64750 or above,$65000 or above,$65250 or above,$65500 or above,$65750 or above,$66000 or above,$66250 or above,$66500 or above,$66750 or above,$67000 or above,$67250 or above,$67500 or above,$67750 or above,$68000 or above,$68250 or above,$68500 or above,$68750 or above,$69000 or above,$69250 or above,$69500 or above,$69750 or above,$70000 or above,$70250 or above,$70500 or above,$70750 or above,$71000 or above,$71250 or above,$71500 or above,$71750 or above,$72000 or above,$72250 or above,$72500 or above,$72750 or above,$73000 or above,$73250 or above,$73500 or above,$73750 or above,$74000 or above,$74250 or above,$74500 or above,$74750 or above,$75000 or above,$75250 or above,$75500 or above,$75750 or above,$76000 or above,$76250 or above,$76500 or above,$76750 or above,$77000 or above,$77250 or above,$77500 or above,$77750 or above,$78000 or above,$78250 or above,$78500 or above,$78750 or above,$79000 or above,$79250 or above,$79500 or above,$79750 or above,$80000 or above,$80250 or above,$80500 or above,$80750 or above,$81000 or above
2026-03-14T19:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,83.14,30.06,,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.47,86.52,19.15,3.00,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:03:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,97.80,83.26,18.17,2.00,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.78,98.00,84.28,19.81,2.89,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:05:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.78,98.11,86.76,20.53,2.68,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:06:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.78,99.00,86.80,22.00,2.41,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:07:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,87.84,23.46,2.91,1.00,,1.45,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:08:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,90.32,26.18,2.91,1.45,,1.45,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:09:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,90.25,27.69,2.31,1.45,,1.45,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14T19:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,90.97,23.34,3.23,1.45,,1.45,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
