timestamp,$56750 or above,$57000 or above,$57250 or above,$57500 or above,$57750 or above,$58000 or above,$58250 or above,$58500 or above,$58750 or above,$59000 or above,$59250 or above,$59500 or above,$59750 or above,$60000 or above,$60250 or above,$60500 or above,$60750 or above,$61000 or above,$61250 or above,$61500 or above,$61750 or above,$62000 or above,$62250 or above,$62500 or above,$62750 or above,$63000 or above,$63250 or above,$63500 or above,$63750 or above,$64000 or above,$64250 or above,$64500 or above,$64750 or above,$65000 or above,$65250 or above,$65500 or above,$65750 or above,$66000 or above,$66250 or above,$66500 or above,$66750 or above,$67000 or above,$67250 or above,$67500 or above,$67750 or above,$68000 or above,$68250 or above,$68500 or above,$68750 or above,$69000 or above,$69250 or above,$69500 or above,$69750 or above,$70000 or above,$70250 or above,$70500 or above,$70750 or above,$71000 or above,$71250 or above,$71500 or above,$71750 or above,$72000 or above,$72250 or above,$72500 or above,$72750 or above,$73000 or above,$73250 or above,$73500 or above,$73750 or above,$74000 or above,$74250 or above,$74500 or above,$74750 or above,$75000 or above,$75250 or above
2026-03-03T11:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.07,84.06,59.43,31.69,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.47,84.02,60.03,29.98,11.49,4.89,1.55,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:03:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,95.47,87.18,62.78,35.97,13.17,6.73,2.99,2.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:04:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,98.00,96.03,92.87,74.79,46.46,17.78,8.29,3.64,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:05:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,98.00,96.03,92.02,73.81,44.54,17.78,6.43,2.69,2.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:06:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,98.00,97.00,91.39,68.52,36.64,16.59,6.43,2.00,2.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:07:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,98.00,97.00,90.46,69.10,41.31,12.86,6.00,2.00,2.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:08:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,98.00,98.00,89.24,67.18,34.87,10.00,4.11,1.30,2.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:09:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,98.00,98.00,88.45,62.78,29.69,10.81,4.00,1.00,2.00,1.24,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T11:10:00Z,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,98.00,96.00,88.41,65.19,33.31,10.98,4.61,2.00,1.00,1.24,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
