timestamp,$57000 or above,$57250 or above,$57500 or above,$57750 or above,$58000 or above,$58250 or above,$58500 or above,$58750 or above,$59000 or above,$59250 or above,$59500 or above,$59750 or above,$60000 or above,$60250 or above,$60500 or above,$60750 or above,$61000 or above,$61250 or above,$61500 or above,$61750 or above,$62000 or above,$62250 or above,$62500 or above,$62750 or above,$63000 or above,$63250 or above,$63500 or above,$63750 or above,$64000 or above,$64250 or above,$64500 or above,$64750 or above,$65000 or above,$65250 or above,$65500 or above,$65750 or above,$66000 or above,$66250 or above,$66500 or above,$66750 or above,$67000 or above,$67250 or above,$67500 or above,$67750 or above,$68000 or above,$68250 or above,$68500 or above,$68750 or above,$69000 or above,$69250 or above,$69500 or above,$69750 or above,$70000 or above,$70250 or above,$70500 or above,$70750 or above,$71000 or above,$71250 or above,$71500 or above,$71750 or above,$72000 or above,$72250 or above,$72500 or above,$72750 or above,$73000 or above,$73250 or above,$73500 or above,$73750 or above,$74000 or above,$74250 or above,$74500 or above,$74750 or above,$75000 or above,$75250 or above,$75500 or above
2026-03-02T18:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.18,,89.88,78.41,59.15,41.36,23.25,12.73,7.50,4.12,3.29,,,,,,,,,,,,,,,,,,,,
2026-03-02T18:02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69,98.19,96.70,94.93,91.59,84.88,71.07,52.24,37.90,20.87,10.80,6.00,4.00,2.47,,,,,,,,,,,,,,,,,,,,
2026-03-02T18:03:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69,97.95,96.92,94.09,90.77,83.40,69.33,48.52,31.79,15.88,9.63,5.03,1.25,2.47,1.00,,,,,,,,,,,,,,,,,,,
2026-03-02T18:04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79,97.91,95.00,92.07,84.64,71.69,56.74,34.66,19.57,10.83,6.66,2.62,1.09,2.47,1.00,,,,,,,1.00,,,,,,,,,,,,
2026-03-02T18:05:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.47,97.62,96.00,93.06,87.21,76.36,60.89,40.55,24.07,13.60,6.00,4.07,1.00,1.00,1.00,,,,,,,1.00,,,,,,,,,,,,
2026-03-02T18:06:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,98.00,95.00,90.31,85.47,73.52,52.60,34.17,21.21,11.74,6.00,1.63,1.63,1.00,,,,,,,1.00,,,,,,,,,,,,
2026-03-02T18:07:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,97.05,95.00,92.00,84.82,73.55,52.98,30.95,19.81,9.10,6.11,3.00,1.52,1.00,,,,,,,1.00,,,,,,,,,,,,
2026-03-02T18:08:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,98.00,95.84,92.00,86.07,74.38,54.83,35.09,19.84,11.90,6.10,3.00,1.52,1.00,,,,,,,1.00,,,,,,,,,,,,
2026-03-02T18:09:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,98.00,96.00,92.83,84.41,69.36,49.37,31.95,18.50,10.00,7.00,3.00,1.00,1.00,,,,,,,1.00,,,,,,,,,,,,
2026-03-02T18:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.00,98.00,96.00,92.00,84.97,71.75,50.94,30.28,17.06,10.00,5.00,4.00,1.00,1.00,,,,,,,1.00,,,,,,,,,,,,
