timestamp,$57000 or above,$57250 or above,$57500 or above,$57750 or above,$58000 or above,$58250 or above,$58500 or above,$58750 or above,$59000 or above,$59250 or above,$59500 or above,$59750 or above,$60000 or above,$60250 or above,$60500 or above,$60750 or above,$61000 or above,$61250 or above,$61500 or above,$61750 or above,$62000 or above,$62250 or above,$62500 or above,$62750 or above,$63000 or above,$63250 or above,$63500 or above,$63750 or above,$64000 or above,$64250 or above,$64500 or above,$64750 or above,$65000 or above,$65250 or above,$65500 or above,$65750 or above,$66000 or above,$66250 or above,$66500 or above,$66750 or above,$67000 or above,$67250 or above,$67500 or above,$67750 or above,$68000 or above,$68250 or above,$68500 or above,$68750 or above,$69000 or above,$69250 or above,$69500 or above,$69750 or above,$70000 or above,$70250 or above,$70500 or above,$70750 or above,$71000 or above,$71250 or above,$71500 or above,$71750 or above,$72000 or above,$72250 or above,$72500 or above,$72750 or above,$73000 or above,$73250 or above,$73500 or above,$73750 or above,$74000 or above,$74250 or above,$74500 or above,$74750 or above,$75000 or above,$75250 or above,$75500 or above
2026-03-03T02:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00,98.00,92.67,87.53,69.66,43.36,23.26,9.00,2.21,1.00,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:02:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69,97.09,92.86,84.01,64.63,42.08,18.66,8.78,2.93,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:03:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,96.35,89.37,75.34,53.07,29.62,13.04,6.68,1.31,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:04:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,92.65,94.15,88.81,70.31,49.83,26.81,13.00,4.00,3.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:05:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,97.00,94.28,88.99,73.85,53.59,31.14,15.05,6.22,1.47,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:06:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,97.00,95.26,90.00,75.13,59.54,30.41,14.47,5.60,1.47,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:07:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.07,94.16,90.87,78.87,54.43,33.66,17.16,6.33,2.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:08:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,94.16,92.18,79.87,58.47,37.23,19.32,7.27,2.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:09:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,99.00,94.40,82.37,61.93,37.67,19.63,7.87,3.00,2.80,1.42,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:10:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,98.00,95.48,81.80,65.81,41.90,21.83,8.94,3.00,2.80,1.42,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:11:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,98.00,95.00,85.00,63.56,38.76,20.76,7.36,3.00,2.80,1.42,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T02:12:00Z,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,98.00,95.00,86.11,64.84,40.69,20.57,7.75,3.00,2.80,1.42,,,,,,,,,,,,,,,,,,,,,,
