dist_bucket,n,wins,net_pnl,mean_pnl,win_rate
0-50,68,15,-6.32,-0.093,0.221
50-100,29,7,-2.8,-0.097,0.241
100-200,25,17,-0.73,-0.029,0.68
200-400,5,4,0.02,0.004,0.8
