dist_bucket,n,wins,net_pnl,mean_pnl,win_rate
0-50,70,0,-7.14,-0.102,0.0
50-100,44,0,-3.98,-0.09,0.0
100-200,24,0,-2.21,-0.092,0.0
200-400,5,0,-0.07,-0.014,0.0
