,sharpe,ann_ret,ann_vol,mdd,hit,n,pct_long,pct_short,pct_flat,dir_acc,mean_prob,secs
BuyHold_SPY,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
AR1,-0.629686718860709,-0.12848492197302658,0.2040457867771042,-0.6626517297335007,0.4897451833436917,1609.0,0.5512740832815414,0.44748290863890616,0.001243008079552517,0.4953329184816428,,
AlwaysLong,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
RandomSelective,0.556639881588841,0.10636468798957126,0.19108348414772222,-0.3880307288549838,0.4532828282828283,1609.0,0.4499689247980112,0.45245494095711625,0.09757613424487259,0.4972451790633609,,
Logistic,0.3199549000109046,0.05366195103619493,0.1677172346301496,-0.28424419042483084,0.4260958205912334,1609.0,0.4232442510876321,0.054070851460534496,0.5226848974518334,0.5442708333333334,0.5394996146801451,0.0
RandomForest,0.5303814165970149,0.09362751907446207,0.17652865682056976,-0.3364692706761958,0.4269547325102881,1609.0,0.46861404599129897,0.006836544437538844,0.5245494095711623,0.5437908496732026,0.5485282306067684,1.0
GradientBoost,0.12382052525313932,0.022864431310099558,0.18465784459689052,-0.4845043270697287,0.4198250728862974,1609.0,0.4829086389061529,0.19453076444996892,0.3225605966438782,0.5302752293577981,0.5341433513712719,7.6
LightGBM,-0.16010900632783523,-0.030607886558547254,0.19116904951539898,-0.5096466004925975,0.42521797451374915,1609.0,0.4860161591050342,0.2858918582970789,0.22809198259788688,0.5112721417069244,0.5336929114282374,0.3
MLP,0.07517509580166906,0.014752458693037821,0.1962413021987833,-0.596938174486896,0.4578616352201258,1609.0,0.5040397762585457,0.4021131137352393,0.09384711000621504,0.5027434842249657,0.5407785725002854,3.2
LSTM,0.2867657254921411,0.051714408355638924,0.18033678281073443,-0.32543462772981835,0.4902597402597403,1609.0,0.49844623990055936,0.030453697949036667,0.47110006215040395,0.5323149236192715,0.5509217433339695,8.9
