,sharpe,ann_ret,ann_vol,mdd,hit,n,pct_long,pct_short,pct_flat,dir_acc,mean_prob,secs
BuyHold_SPY,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
AR1,-0.629686718860709,-0.12848492197302658,0.2040457867771042,-0.6626517297335007,0.4897451833436917,1609.0,0.5512740832815414,0.44748290863890616,0.001243008079552517,0.4953329184816428,,
AlwaysLong,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
RandomSelective,0.556639881588841,0.10636468798957126,0.19108348414772222,-0.3880307288549838,0.4532828282828283,1609.0,0.4499689247980112,0.45245494095711625,0.09757613424487259,0.4972451790633609,,
Logistic,0.039812420453341664,0.0073638433119414485,0.18496346688017964,-0.5510933292012594,0.4214641080312722,1609.0,0.39962709757613424,0.33374766935985084,0.2666252330640149,0.5042372881355932,0.5094275430025561,0.0
RandomForest,-0.02600462177728914,-0.0040770417792199845,0.15678142962958322,-0.35745864826702056,0.40609137055837563,1609.0,0.35612181479179617,0.009322560596643879,0.63455562461156,0.54421768707483,0.5370934079640419,1.3
GradientBoost,-0.6325385229286421,-0.11032127552055247,0.1744103663596123,-0.6483040055437184,0.3775438596491228,1609.0,0.3853325046612803,0.31385954008701056,0.3008079552517091,0.48,0.5054528439221204,33.8
LightGBM,-0.22788284076989215,-0.04246525688019997,0.18634688218179557,-0.469372958475757,0.4309895833333333,1609.0,0.4630205096333126,0.34369173399627095,0.1932877563704164,0.5100154083204931,0.5216802547260152,1.1
MLP,0.1338919178819874,0.026956794808562237,0.20133250187903062,-0.3803166201713576,0.4891101431238332,1609.0,0.4829086389061529,0.49285270354257305,0.024238657551274082,0.5019108280254777,0.49587246745512953,3.6
LSTM,0.021461046781722913,0.004035001559083944,0.18801513272504083,-0.3521041704019262,0.4429920116194626,1609.0,0.4064636420136731,0.35301429459291483,0.24052206339341206,0.5,0.5158389519467126,4.1
