,mae,sharpe,ann_ret,ann_vol,mdd,hit,n,secs
Naive21D,0.0697662161501345,0.8930003022448618,0.17303397506408083,0.19376698376148446,-0.23897733240614594,0.5507156191661481,1607.0,
BuyHold,,0.7122648570959963,0.14541841154981913,0.20416339526101343,-0.35745864826702023,0.5514018691588785,1607.0,
Ridge,0.2370229272456191,0.7136378017126852,0.15695312239453227,0.21993386843837978,-0.3884624277440474,0.5510585305105853,1607.0,0.0
RandomForest,0.06260809390641386,0.8520065530334657,0.18667710166347065,0.21910289421933382,-0.3213994708923539,0.5510585305105853,1607.0,1.5
GradientBoost,0.06382661960691215,0.7349322233855263,0.18789089187710345,0.2556574414597968,-0.39944999690889815,0.5510585305105853,1607.0,7.2
LightGBM,0.06290056395363014,0.8840149124195754,0.2032973625347708,0.22997051257692003,-0.33613802328874953,0.5510585305105853,1607.0,0.4
MLP,0.0735185648110751,0.9799484420011783,0.25813670388818893,0.2634186583949675,-0.36452231257927714,0.5510585305105853,1607.0,2.8
