event_ticker,market_ticker,side,strike,spot_at_decision,dist_usd,decision_utc,close_utc,model_p_yes,entry_quoted,entry_fill,exit_fill,exit_reason,edge_c_decision,contracts,gross_pnl,fees,net_pnl,throttled
KXBTCD-26MAY0712,KXBTCD-26MAY0712-T79899.99,no,79899.99,79812.0,87.99000000000524,2026-05-07T15:26:50.608999600+00:00,2026-05-07T15:55:00.608999600+00:00,0.3369946418728909,0.53,0.55,0.57,take_profit (+7.0c),6.3257358127109065,1,0.019999999999999907,0.04,-0.020000000000000094,True
KXBTCD-26MAY1001,KXBTCD-26MAY1001-T80699.99,no,80699.99,80766.15,66.15999999998894,2026-05-10T04:25:05.673718200+00:00,2026-05-10T04:55:00.673718200+00:00,0.6752043657323541,0.21999999999999997,0.23999999999999996,0.15999999999999995,stop_loss (-5.0c),5.674763426764592,1,-0.08000000000000002,0.03,-0.11000000000000001,True
KXBTCD-26MAY0811,KXBTCD-26MAY0811-T80399.99,no,80399.99,80239.15,160.84000000001106,2026-05-08T14:25:05.547553500+00:00,2026-05-08T14:55:00.547553500+00:00,0.1594017004397873,0.71,0.73,0.74,take_profit (+6.0c),7.294629956021267,1,0.010000000000000009,0.04,-0.029999999999999992,False
KXBTCD-26MAY0807,KXBTCD-26MAY0807-T79799.99,no,79799.99,79869.55,69.55999999999767,2026-05-08T10:26:30.570134300+00:00,2026-05-08T10:55:00.570134300+00:00,0.6866849340940148,0.20999999999999996,0.22999999999999995,0.15000000000000005,stop_loss (-5.0c),5.6863065905985275,1,-0.0799999999999999,0.03,-0.1099999999999999,True
KXBTCD-26MAY0923,KXBTCD-26MAY0923-T80699.99,no,80699.99,80714.05,14.059999999997672,2026-05-10T02:36:10.411949500+00:00,2026-05-10T02:55:00.411949500+00:00,0.5618417934586,0.31999999999999995,0.33999999999999997,0.24000000000000002,stop_loss (-7.5c),5.723020654140008,1,-0.09999999999999995,0.04,-0.13999999999999996,True
KXBTCD-26MAY0908,KXBTCD-26MAY0908-T80299.99,no,80299.99,80351.65,51.65999999998894,2026-05-09T11:29:20.393129500+00:00,2026-05-09T11:55:00.393129500+00:00,0.6509652345699879,0.22999999999999998,0.24999999999999997,0.16999999999999996,stop_loss (-5.0c),6.944676543001211,1,-0.08000000000000002,0.03,-0.11000000000000001,True
KXBTCD-26MAY1123,KXBTCD-26MAY1123-T81199.99,no,81199.99,81115.6,84.38999999999942,2026-05-12T02:42:05.978637600+00:00,2026-05-12T02:55:00.978637600+00:00,0.2029406077182199,0.6799999999999999,0.7,0.72,take_profit (+5.0c),5.613139228178009,1,0.020000000000000018,0.04,-0.019999999999999983,True
KXBTCD-26MAY1022,KXBTCD-26MAY1022-T81599.99,no,81599.99,81499.95,100.04000000000815,2026-05-11T01:41:30.864174800+00:00,2026-05-11T01:55:00.864174800+00:00,0.17979698815838338,0.6799999999999999,0.7,0.72,take_profit (+6.0c),7.9275011841616605,1,0.020000000000000018,0.04,-0.019999999999999983,True
KXBTCD-26MAY0903,KXBTCD-26MAY0903-T80299.99,no,80299.99,80297.85,2.139999999999418,2026-05-09T06:28:10.847595500+00:00,2026-05-09T06:55:00.847595500+00:00,0.5090873711834998,0.35,0.37,0.38,take_profit (+6.5c),7.7212628816500235,1,0.010000000000000009,0.04,-0.029999999999999992,True
KXBTCD-26MAY1118,KXBTCD-26MAY1118-T81699.99,no,81699.99,81719.55,19.55999999999767,2026-05-11T21:43:50.844621900+00:00,2026-05-11T21:55:00.844621900+00:00,0.5934692424648894,0.28,0.30000000000000004,0.32000000000000006,take_profit (+5.0c),7.008275753511055,1,0.020000000000000018,0.04,-0.019999999999999983,True
