dist_bucket,n,wins,net_pnl,mean_pnl,win_rate
0-50,66,0,-6.3,-0.095,0.0
50-100,36,0,-3.29,-0.091,0.0
100-200,23,0,-1.34,-0.058,0.0
200-400,6,0,-0.07,-0.012,0.0
